FBgn0000592	FBgn0001247	FBgn0001404	FBgn0002917	FBgn0003068	FBgn0003429	FBgn0004795	FBgn0005386	FBgn0013953	FBgn0014396	FBgn0020618	FBgn0023076	FBgn0023094	FBgn0025680	FBgn0027109	FBgn0028424	FBgn0029768	FBgn0029769	FBgn0030228	FBgn0033153	FBgn0034638	FBgn0036260	FBgn0038842	FBgn0040092	FBgn0050446	FBgn0052484	FBgn0053527	FBgn0060296	FBgn0061492	FBgn0086370	FBgn0086676	FBgn0260753	FBgn0262636	FBgn0264975	FBgn0265487	FBgn0265577	FBgn0267796	Time	Experiment
1	1	1	1	0	1	1	0	0	0	0	1	0	1	1	1	1	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	0	1	1	0
0	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	0	1	2	0
0	0	0	1	0	1	1	0	1	0	1	1	0	1	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	0	1	1	1	1	1	0	0	3	0
0	1	0	1	1	1	0	0	1	0	1	0	1	1	1	0	1	0	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	4	0
0	0	0	1	1	1	0	1	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	0	0	5	0
0	0	0	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	6	0
0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	7	0
0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	8	0
1	0	1	1	0	0	1	1	0	0	1	1	1	1	0	0	1	0	1	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	0	0	1	1
0	1	1	1	0	1	1	1	0	0	1	1	0	0	1	1	1	0	0	1	1	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	2	1
0	0	1	1	0	1	0	0	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	0	1	0	0	1	1	0	0	0	3	1
0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	1	1	0	0	0	1	0	1	0	1	0	4	1
0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5	1
0	0	1	1	1	0	0	0	1	1	1	0	1	0	1	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	6	1
0	0	1	1	1	0	0	0	1	1	1	0	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	7	1
0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	0	0	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	8	1
